author,added,deleted,commits
--global,57,51,4
7heo,7,1,1
#ERROR!,192,19,9
@tmshn,5,0,1
A-Gordon,6,0,1
AJ Bahnken,15,2,2
AJ Bourg,1,1,1
AMeng,6,0,2
Aaron Welch,697,244,5
Abhijeet Gaiha,120,24,2
Adam Byrtek,181,0,1
Adam Enger,78,5,2
Adam Heeren,205,50,6
Adam Lewandowski,2,2,1
Adam Mielke,216,18,1
Adam Ochonicki,1,4,1
Adam Shannon,1,1,1
Adam Ward,6,4,1
Adit Sarfaty,46,0,1
Aditya Anchuri,33,3,1
Adrian Chelaru,457,0,1
Ahmon Dancy,7,4,1
Alan Grosskurth,1,1,1
Albert Choi,1517,95,10
Alek Storm,54,19,8
Aleksander Modzelewski,12,3,1
Alex Berghage,10,12,1
Alex Chan,1,1,1
Alex Crowe,318,0,1
Alex Eftimie,52,50,3
Alex Gaynor,67,62,5
Alex Gray,2,2,1
Alex Harvey,33,6,2
Alex Ianchici,8,0,1
Alex Meng,50,19,1
Alex Philipp,1,1,1
Alex Pilon,2593,61687,35
Alex Rowley,13,16,3
Alex Shadrin,14,1,1
Alex Somesan,6,14,5
Alexander,1492,257,20
Alexander Dupuy,11,10,2
Alexander Ekdahl,9,2,2
Alexander Fortin,1,1,1
Alexander Hellbom,2160,699,20
Alexander Kyxap,14,1,2
Alexander Simmerl,159,49,1
Alexander Zhukau,2,2,1
Alexis Grant,1,1,1
Alice Sawatzky,2,2,1
Ameir Abdeldayem,4,4,1
Andras Ferencz-Szabo,5,4,2
Andre Bindewald,0,1,1
Andre Silva,8,0,1
Andreas Kyrris,245,119,19
Andreas Skarmutsos Lindh,1191,85,4
Andreas Sommer,16,0,1
Andreas Wrl,2,1,1
Andres Koetsier,8,0,1
Andrew Bloomgarden,1,0,1
Andrew Garrett,112,6,3
Andrew Hodges,116,99,2
Andrew Langhorn,3,3,1
Andrew Murray,1,1,1
Andrew Starr-Bochicchio,46,1,2
Andrew Sy Kim,27,0,1
Andrew Tarry,8,2,1
Andriy Borodiychuk,1,1,1
Andy Chan,351,76,10
Andy Lindeman,566,153,5
Andy Royle,187,1,1
Annie Hedgpeth,5819,57,17
Anshul Sharma,1610,15,18
Anthony Scalisi,44,44,1
Anthony Stanton,890,212,15
Antoine Grondin,465,105,3
Antoine Jacoutot,2,4,1
Antoine Rouaze,27,0,1
Anton Babenko,2,2,2
Anton Koldaev,0,3,1
Anton Tereshchenkov,24,11,2
Anubhav Mishra,5,5,2
Ariel Alonso,48,0,1
Aris Pikeas,1,1,1
Armon Dadgar,11733,3747,261
Arthur Burkart,13,0,1
Ash Berlin,1,1,1
Ashish Kumar Thakur,3380,487,1
Aurelie Vache,1,1,1
Avi Nanhkoesingh,31,15,1
Ayu Demura,543,95,7
BSick7,116,89,3
Baraa Basata,1,1,1
Bart van der Schans,138,7,1
Bastien Penavayre,4,4,1
Ben,2,2,1
Ben Lau,9,9,5
Ben Marini,134,0,1
Ben Slusky,33,5,1
Benjamin Boudreau,1,1,1
Benjamin Chelli,4,0,1
Benjamin Lau,7,3,3
Benjamin Pineau,15,0,1
Benjamin Vickers,316,0,1
Benjamin vickers,174,24,1
Bernerd Schaefer,231,7,6
Bill Fumerola,4,3,3
Bill Maxwell,244,101,1
Blake Smith,10,0,1
BobVanB,25,0,1
Bobby DeVeaux,330,39,8
Bodo Petermann,1,1,1
Borgstrom ?,200,0,2
Borys Pierov,1,1,1
Brad Larson,2,2,2
Brad Sickles,1000,214,7
Brandon Clodius,10,1,2
Brandon Rochon,6,1,2
Brandon Siegel,9,0,2
Brandon Tosch,935,553,25
Brendan Shaklovitz,468,9,1
Brett Mack,1825,508,14
Brian Antonelli,1,1,1
Brian Cain,1,1,1
Brian Cervenka,7,0,1
Brian Chen,648,5,1
Brian Edwards,233,1,1
Brian Flad,1291,3857,54
Brian Hahn,9,9,1
Brian Hicks,439,11,3
Brian Menges,9,1,1
Brian Williams,86,28,1
Bruno Miguel Custodio,534,59,14
Bruno Tavares,0,8,1
Bryan Burgers,40,19,1
Bryce Kahle,13,0,1
Buck Ryan,0,3,1
Caio Filipini,240,85,5
Calle Pettersson,11,2,3
Calum Lacroix,3,0,1
Calvin French-Owen,1,0,1
Cameron Childress,2,0,1
Cameron Stokes,81,6,3
Cameron Watters,125,0,1
Cameron Wood,144,0,2
Camilo Aguilar,538,2,4
Carl Youngblood,10,4,1
Carles Figuerola,198,49,5
Carlos A Becker,6,4,1
Carlos Diaz-Padron,26,13,2
Carlos Sanchez,62,14,4
Cedric Brandily,28,11,1
Charles Kenney,4,1,1
Chase,1,1,1
Chase Adams,1,1,1
Chiradeep Vittal,8,6,2
Chris Bednarski,830,66,13
Chris Broglie,235,28,2
Chris Buben,18,0,1
Chris Busbey,2,2,1
Chris Doherty,22,1,4
Chris Johnson,881,383,9
Chris Kent,117,20,1
Chris Love,328,99,15
Chris Marchesi,5171,774,92
Chris Paris,5,0,1
Chris Trotman,35,3,1
Christian Berendt,573,393,8
Christian Hildebrando Hercules,1,1,1
Christian Karlsen,4,2,1
Christian Pearce,25,21,1
Christoffer KylvÜg,66,5,2
Christoph Blecker,203,81,33
Christoph Kappel,19,0,1
Christoph Tavan,210,4,3
Christophe van de Kerchove,2,0,2
Christopher Elkins,8,0,1
Christopher Tiwald,1859,23,17
Cliff Pracht,7,2,1
Clint,5908,813,423
Clint Shryock,11514,6195,276
Colin Fowler,15,4,1
Colin Hebert,639,105,23
Colin Moller,45,9,2
Colin Saliceti,19,6,2
Colin Wood,971,189,8
Colin Woodbury,1,1,1
Conor Mongey,301,15,5
Craig Dodd,2,2,1
Craig Knott,113,1,2
Cristian Calin,456,72,3
Csaba Palfi,15,2,1
Cuong Nguyen,12,8,1
Curtis Allen,22,11,1
DJ Home,12,0,3
Dainis Tillers,63,19,7
Daisuke Fujita,1,2,1
Dan Allegood,129,25,4
Dan Carley,134,26,7
Dan Everton,626,296,12
Dan Hilton,156,1,1
Dan Paquette,3,0,1
Dan Peterson,186,39,4
Dan Stine,6,6,1
Dan Thagard,14,6,2
Dan Wendorf,9,9,4
Dana Hoffman,2678,1158,83
Daniel,28,9,2
Daniel Bryant,12,4,1
Daniel Farina,1,1,1
Daniel Imfeld,16,12,1
Daniel Kats,1,1,1
Daniel Malon,7,0,1
Daniel Mangum,0,89,1
Daniel Portella,105,15,4
Daniel Schierbeck,20,0,3
Daniel Schmidt,130,0,2
Daniel Schroeder,2,2,1
Daniel Spangenberg,29,15,1
Daniel del Castillo,3,3,2
Danny Cosson,1,0,1
Daren Desjardins,10,0,2
Darren White,16,2,2
Dave Cunningham,2662,1110,41
Dave D'Amico,6,0,1
Dave McDermid,37,0,1
Dave Walter,39,25,1
David Adams,34,12,2
David Blooman,416,0,1
David Bouchare,8,3,1
David Celis,7,153,1
David Gillies,4,0,1
David Glasser,293,162,14
David Harris,909,110,19
David Joos,2,2,1
David Kelly,2,2,1
David Laing,2,0,1
David Lanner,2,2,1
David Meyer,55,2,2
David Radcliffe,322,17,7
David Tolnay,207,98,14
David Watson,1377,71,14
David Winterbottom,4,4,1
