author,label,added,deleted,commits
--global,0,57,51,4
7heo,0,7,1,1
#ERROR!,0,192,19,9
@tmshn,0,5,0,1
A-Gordon,0,6,0,1
AJ Bahnken,0,15,2,2
AJ Bourg,0,1,1,1
AMeng,0,6,0,2
Aaron Welch,0,697,244,5
Abhijeet Gaiha,0,120,24,2
Adam Byrtek,0,181,0,1
Adam Enger,0,78,5,2
Adam Heeren,0,205,50,6
Adam Lewandowski,0,2,2,1
Adam Mielke,0,216,18,1
Adam Ochonicki,0,1,4,1
Adam Shannon,0,1,1,1
Adam Ward,0,6,4,1
Adit Sarfaty,0,46,0,1
Aditya Anchuri,0,33,3,1
Adrian Chelaru,0,457,0,1
Ahmon Dancy,0,7,4,1
Alan Grosskurth,0,1,1,1
Albert Choi,0,1517,95,10
Alek Storm,0,54,19,8
Aleksander Modzelewski,0,12,3,1
Alex Berghage,0,10,12,1
Alex Chan,0,1,1,1
Alex Crowe,0,318,0,1
Alex Eftimie,0,52,50,3
Alex Gaynor,0,67,62,5
Alex Gray,0,2,2,1
Alex Harvey,0,33,6,2
Alex Ianchici,0,8,0,1
Alex Meng,0,50,19,1
Alex Philipp,0,1,1,1
Alex Pilon,1,2593,61687,35
Alex Rowley,0,13,16,3
Alex Shadrin,0,14,1,1
Alex Somesan,0,6,14,5
Alexander,0,1492,257,20
Alexander Dupuy,0,11,10,2
Alexander Ekdahl,0,9,2,2
Alexander Fortin,0,1,1,1
Alexander Hellbom,0,2160,699,20
Alexander Kyxap,0,14,1,2
Alexander Simmerl,0,159,49,1
Alexander Zhukau,0,2,2,1
Alexis Grant,0,1,1,1
Alice Sawatzky,0,2,2,1
Ameir Abdeldayem,0,4,4,1
Andras Ferencz-Szabo,0,5,4,2
Andre Bindewald,0,0,1,1
Andre Silva,0,8,0,1
Andreas Kyrris,0,245,119,19
Andreas Skarmutsos Lindh,0,1191,85,4
Andreas Sommer,0,16,0,1
Andreas Wrl,0,2,1,1
Andres Koetsier,0,8,0,1
Andrew Bloomgarden,0,1,0,1
Andrew Garrett,0,112,6,3
Andrew Hodges,0,116,99,2
Andrew Langhorn,0,3,3,1
Andrew Murray,0,1,1,1
Andrew Starr-Bochicchio,0,46,1,2
Andrew Sy Kim,0,27,0,1
Andrew Tarry,0,8,2,1
Andriy Borodiychuk,0,1,1,1
Andy Chan,0,351,76,10
Andy Lindeman,0,566,153,5
Andy Royle,0,187,1,1
Annie Hedgpeth,0,5819,57,17
Anshul Sharma,0,1610,15,18
Anthony Scalisi,0,44,44,1
Anthony Stanton,0,890,212,15
Antoine Grondin,0,465,105,3
Antoine Jacoutot,0,2,4,1
Antoine Rouaze,0,27,0,1
Anton Babenko,0,2,2,2
Anton Koldaev,0,0,3,1
Anton Tereshchenkov,0,24,11,2
Anubhav Mishra,0,5,5,2
Ariel Alonso,0,48,0,1
Aris Pikeas,0,1,1,1
Armon Dadgar,0,11733,3747,261
Arthur Burkart,0,13,0,1
Ash Berlin,0,1,1,1
Ashish Kumar Thakur,0,3380,487,1
Aurelie Vache,0,1,1,1
Avi Nanhkoesingh,0,31,15,1
Ayu Demura,0,543,95,7
BSick7,0,116,89,3
Baraa Basata,0,1,1,1
Bart van der Schans,0,138,7,1
Bastien Penavayre,0,4,4,1
Ben,0,2,2,1
