entity,coupled,degree,average-revs
addrs/count_attr.go,addrs/resource.go,50,12
addrs/count_attr.go,addrs/local_value.go,80,8
addrs/count_attr.go,addrs/input_variable.go,85,7
addrs/count_attr.go,addrs/instance_key.go,85,7
addrs/count_attr.go,addrs/module_call.go,85,7
addrs/count_attr.go,addrs/self.go,100,6
addrs/count_attr.go,addrs/referenceable.go,100,6
addrs/count_attr.go,addrs/path_attr.go,100,6
addrs/count_attr.go,addrs/terraform_attr.go,100,6
addrs/input_variable.go,addrs/provider_config.go,35,14
addrs/input_variable.go,addrs/module_instance.go,43,12
addrs/input_variable.go,addrs/module.go,55,9
addrs/input_variable.go,addrs/resource.go,61,13
addrs/input_variable.go,addrs/module_call.go,75,8
addrs/input_variable.go,addrs/instance_key.go,75,8
addrs/input_variable.go,addrs/path_attr.go,85,7
addrs/input_variable.go,addrs/referenceable.go,85,7
addrs/input_variable.go,addrs/terraform_attr.go,85,7
addrs/input_variable.go,addrs/self.go,85,7
addrs/input_variable.go,addrs/local_value.go,94,9
addrs/instance_key.go,addrs/module_instance.go,43,12
addrs/instance_key.go,addrs/resource.go,61,13
addrs/instance_key.go,addrs/local_value.go,70,9
addrs/instance_key.go,addrs/module_call.go,75,8
addrs/instance_key.go,addrs/self.go,85,7
addrs/instance_key.go,addrs/path_attr.go,85,7
addrs/instance_key.go,addrs/referenceable.go,85,7
addrs/instance_key.go,addrs/terraform_attr.go,85,7
addrs/local_value.go,addrs/provider_config.go,34,15
addrs/local_value.go,addrs/module_instance.go,41,12
addrs/local_value.go,addrs/module.go,52,10
addrs/local_value.go,addrs/resource.go,59,14
addrs/local_value.go,addrs/module_call.go,70,9
addrs/local_value.go,addrs/self.go,80,8
addrs/local_value.go,addrs/referenceable.go,80,8
addrs/local_value.go,addrs/terraform_attr.go,80,8
addrs/local_value.go,addrs/path_attr.go,80,8
addrs/module_call.go,addrs/resource.go,46,13
addrs/module_call.go,addrs/self.go,85,7
addrs/module_call.go,addrs/terraform_attr.go,85,7
addrs/module_call.go,addrs/referenceable.go,85,7
addrs/module_call.go,addrs/path_attr.go,85,7
addrs/module_instance.go,addrs/resource.go,48,17
addrs/module_instance.go,addrs/provider_config.go,51,18
addrs/module.go,addrs/provider_config.go,33,15
addrs/module.go,addrs/resource.go,35,14
addrs/module.go,addrs/module_instance.go,64,13
addrs/path_attr.go,addrs/resource.go,50,12
addrs/path_attr.go,addrs/referenceable.go,100,6
addrs/path_attr.go,addrs/terraform_attr.go,100,6
addrs/path_attr.go,addrs/self.go,100,6
addrs/referenceable.go,addrs/resource.go,50,12
addrs/referenceable.go,addrs/terraform_attr.go,100,6
addrs/referenceable.go,addrs/self.go,100,6
addrs/resource.go,addrs/self.go,50,12
addrs/resource.go,addrs/terraform_attr.go,50,12
addrs/self.go,addrs/terraform_attr.go,100,6
backend/backend.go,backend/local/backend_apply.go,30,40
backend/backend.go,backend/local/backend.go,32,40
backend/backend.go,backend/nil.go,37,19
backend/cli.go,backend/local/cli.go,66,9
backend/init/init.go,state/remote/remote.go,41,36
backend/local/backend_apply.go,backend/local/backend_local.go,30,49
backend/local/backend_apply.go,backend/local/backend_plan.go,47,49
backend/local/backend_apply.go,backend/local/backend_refresh.go,50,36
backend/local/backend_local.go,backend/local/backend_refresh.go,31,35
backend/local/backend_plan.go,backend/local/backend_refresh.go,52,34
backend/local/counthookaction_string.go,terraform/walkoperation_string.go,62,16
backend/local/counthookaction_string.go,helper/schema/valuetype_string.go,68,15
backend/local/counthookaction_string.go,terraform/graphtype_string.go,68,15
backend/local/counthookaction_string.go,terraform/instancetype_string.go,76,13
backend/local/counthookaction_string.go,helper/schema/getsource_string.go,86,12
backend/local/counthookaction_string.go,config/resource_mode_string.go,90,11
backend/local/counthookaction_string.go,backend/operationtype_string.go,90,11
backend/nil.go,backend/testing.go,38,13
backend/operationtype_string.go,terraform/walkoperation_string.go,62,16
backend/operationtype_string.go,terraform/graphtype_string.go,68,15
backend/operationtype_string.go,helper/schema/valuetype_string.go,68,15
backend/operationtype_string.go,terraform/instancetype_string.go,76,13
backend/operationtype_string.go,helper/schema/getsource_string.go,86,12
backend/operationtype_string.go,config/resource_mode_string.go,90,11
backend/remote-state/azure/arm_client.go,backend/remote-state/azure/backend.go,45,11
backend/remote-state/consul/backend.go,backend/remote-state/consul/backend_state.go,50,10
backend/remote-state/gcloud/backend_state.go,backend/remote-state/gcloud/client.go,50,10
backend/remote-state/gcloud/backend.go,backend/remote-state/gcloud/client.go,47,11
backend/remote-state/gcloud/backend.go,backend/remote-state/gcloud/backend_state.go,60,12
backend/remote-state/http/backend.go,backend/remote-state/http/client.go,100,6
backend/remote-state/s3/backend_state.go,backend/remote-state/s3/client.go,31,16
backend/remote-state/s3/backend.go,backend/remote-state/s3/backend_state.go,34,21
backend/remote/backend_apply.go,backend/remote/backend_mock.go,38,32
backend/remote/backend_apply.go,backend/remote/backend_plan.go,57,28
backend/remote/backend_common.go,backend/remote/backend_plan.go,49,27
backend/remote/backend_mock.go,backend/remote/backend_plan.go,33,36
backend/remote/backend_mock.go,backend/remote/testing.go,45,29
backend/remote/backend.go,svchost/disco/host.go,30,33
backend/remote/backend.go,backend/remote/testing.go,38,34
backend/remote/backend.go,backend/remote/backend_mock.go,44,45
builtin/providers/arukas/provider.go,builtin/providers/arukas/resource_arukas_container.go,100,5
builtin/providers/aws/cloudfront_distribution_configuration_structure.go,builtin/providers/aws/resource_aws_cloudfront_distribution.go,68,21
builtin/providers/aws/network_acl_entry.go,builtin/providers/aws/resource_aws_network_acl.go,30,30
builtin/providers/aws/resource_aws_cloudwatch_log_destination.go,builtin/providers/aws/resource_aws_cloudwatch_log_destination_policy.go,80,10
builtin/providers/aws/resource_aws_iam_group.go,builtin/providers/aws/resource_aws_iam_user.go,38,13
builtin/providers/azure/config.go,builtin/providers/azure/resource_azure_instance.go,46,20
builtin/providers/azure/config.go,builtin/providers/azure/resource_azure_security_group.go,50,14
builtin/providers/azure/config.go,builtin/providers/azure/provider.go,58,17
builtin/providers/azure/config.go,builtin/providers/azure/resource_azure_virtual_network.go,59,14
builtin/providers/azure/provider.go,builtin/providers/azure/resource_azure_security_group.go,33,15
builtin/providers/azure/provider.go,builtin/providers/azure/resource_azure_virtual_network.go,34,15
builtin/providers/azure/resource_azure_instance.go,builtin/providers/azure/resource_azure_virtual_network.go,58,17
builtin/providers/azure/resource_azure_instance.go,builtin/providers/azure/resource_azure_security_group.go,62,18
builtin/providers/azure/resource_azure_security_group.go,builtin/providers/azure/resource_azure_virtual_network.go,78,12
builtin/providers/azurerm/config.go,builtin/providers/azurerm/provider.go,54,78
builtin/providers/azurerm/resource_arm_cdn_endpoint.go,builtin/providers/azurerm/resource_arm_cdn_profile.go,66,9
builtin/providers/azurerm/resource_arm_cdn_profile.go,builtin/providers/azurerm/resource_arm_storage_account.go,30,20
builtin/providers/azurerm/resource_arm_loadbalancer_backend_address_pool.go,builtin/providers/azurerm/resource_arm_loadbalancer_probe.go,71,14
builtin/providers/azurerm/resource_arm_loadbalancer_backend_address_pool.go,builtin/providers/azurerm/resource_arm_loadbalancer_rule.go,81,14
builtin/providers/azurerm/resource_arm_loadbalancer_backend_address_pool.go,builtin/providers/azurerm/resource_arm_loadbalancer_nat_pool.go,84,13
builtin/providers/azurerm/resource_arm_loadbalancer_backend_address_pool.go,builtin/providers/azurerm/resource_arm_loadbalancer_nat_rule.go,84,13
builtin/providers/azurerm/resource_arm_loadbalancer_nat_pool.go,builtin/providers/azurerm/resource_arm_loadbalancer_probe.go,87,16
builtin/providers/azurerm/resource_arm_loadbalancer_nat_pool.go,builtin/providers/azurerm/resource_arm_loadbalancer_rule.go,96,16
builtin/providers/azurerm/resource_arm_loadbalancer_nat_pool.go,builtin/providers/azurerm/resource_arm_loadbalancer_nat_rule.go,100,15
builtin/providers/azurerm/resource_arm_loadbalancer_nat_rule.go,builtin/providers/azurerm/resource_arm_loadbalancer_probe.go,87,16
builtin/providers/azurerm/resource_arm_loadbalancer_nat_rule.go,builtin/providers/azurerm/resource_arm_loadbalancer_rule.go,96,16
builtin/providers/azurerm/resource_arm_loadbalancer_probe.go,builtin/providers/azurerm/resource_arm_loadbalancer_rule.go,84,17
builtin/providers/azurerm/resource_arm_loadbalancer.go,builtin/providers/azurerm/resource_arm_loadbalancer_probe.go,48,13
builtin/providers/azurerm/resource_arm_loadbalancer.go,builtin/providers/azurerm/resource_arm_loadbalancer_rule.go,50,12
builtin/providers/azurerm/resource_arm_loadbalancer.go,builtin/providers/azurerm/resource_arm_loadbalancer_nat_pool.go,52,12
builtin/providers/azurerm/resource_arm_loadbalancer.go,builtin/providers/azurerm/resource_arm_loadbalancer_nat_rule.go,52,12
builtin/providers/azurerm/resource_arm_network_interface_card.go,builtin/providers/azurerm/resource_arm_network_security_group.go,33,15
builtin/providers/azurerm/resource_arm_network_interface_card.go,builtin/providers/azurerm/resource_arm_route_table.go,38,13
builtin/providers/azurerm/resource_arm_network_interface_card.go,builtin/providers/azurerm/resource_arm_subnet.go,44,14
builtin/providers/azurerm/resource_arm_network_interface_card.go,builtin/providers/azurerm/resource_arm_public_ip.go,46,15
builtin/providers/azurerm/resource_arm_network_security_group.go,builtin/providers/azurerm/resource_arm_virtual_network.go,31,16
builtin/providers/azurerm/resource_arm_network_security_group.go,builtin/providers/azurerm/resource_arm_route_table.go,45,11
