entity,n-authors,n-revs
builtin/providers/aws/provider.go,105,318
CHANGELOG.md,82,3787
builtin/providers/aws/config.go,55,170
builtin/providers/aws/resource_aws_instance.go,50,170
config/interpolate_funcs_test.go,50,111
config/interpolate_funcs.go,48,111
builtin/providers/aws/structure.go,47,151
builtin/providers/aws/resource_aws_db_instance.go,46,145
README.md,44,80
command/internal_plugin_list.go,35,53
helper/schema/schema.go,34,220
builtin/providers/aws/resource_aws_s3_bucket.go,34,94
builtin/providers/aws/resource_aws_elb.go,33,116
Godeps/Godeps.json,33,102
builtin/providers/aws/validators.go,31,68
builtin/providers/aws/resource_aws_autoscaling_group.go,29,100
builtin/providers/aws/resource_aws_instance_test.go,28,93
builtin/providers/google/provider.go,28,83
Makefile,25,116
builtin/providers/aws/structure_test.go,25,74
builtin/providers/aws/resource_aws_route53_record.go,25,72
builtin/providers/aws/resource_aws_launch_configuration.go,25,65
helper/schema/schema_test.go,24,194
builtin/providers/aws/resource_aws_security_group.go,24,99
builtin/providers/google/resource_compute_instance.go,24,86
builtin/providers/aws/resource_aws_autoscaling_group_test.go,24,76
builtin/providers/vsphere/resource_vsphere_virtual_machine.go,23,75
builtin/providers/aws/resource_aws_route_table.go,23,55
builtin/providers/aws/resource_aws_rds_cluster.go,23,42
builtin/providers/aws/resource_aws_lambda_function.go,22,49
go.mod,21,235
go.sum,21,235
.travis.yml,21,131
helper/resource/testing.go,21,121
builtin/providers/azurerm/resource_arm_virtual_machine.go,21,65
builtin/providers/aws/resource_aws_security_group_test.go,21,62
builtin/providers/aws/resource_aws_s3_bucket_test.go,21,56
builtin/providers/aws/resource_aws_elb_test.go,21,54
builtin/providers/aws/validators_test.go,21,51
command/init.go,20,140
builtin/providers/openstack/resource_openstack_compute_instance_v2.go,20,104
builtin/providers/aws/resource_aws_db_instance_test.go,20,74
builtin/providers/aws/resource_aws_elasticache_cluster.go,20,58
builtin/providers/digitalocean/resource_digitalocean_droplet.go,20,51
builtin/providers/google/resource_compute_instance_test.go,20,46
builtin/providers/aws/resource_aws_redshift_cluster.go,20,41
command/apply.go,19,156
builtin/providers/aws/resource_aws_vpc.go,19,64
scripts/build.sh,19,41
builtin/providers/docker/resource_docker_container.go,19,30
command/meta.go,18,189
command/output.go,18,64
Vagrantfile,18,47
builtin/providers/aws/resource_aws_launch_configuration_test.go,18,29
builtin/providers/azurerm/provider.go,17,98
builtin/providers/openstack/provider.go,17,56
builtin/provisioners/chef/resource_provisioner.go,17,55
builtin/providers/azurerm/resource_arm_virtual_machine_test.go,17,51
builtin/providers/aws/resource_aws_route53_zone.go,17,51
builtin/providers/aws/resource_aws_internet_gateway.go,17,49
builtin/providers/aws/resource_aws_route53_record_test.go,17,41
builtin/providers/fastly/resource_fastly_service_v1.go,17,41
builtin/providers/google/resource_compute_instance_template.go,17,38
builtin/providers/aws/resource_aws_dynamodb_table.go,17,37
builtin/providers/docker/resource_docker_container_funcs.go,17,37
builtin/providers/aws/resource_aws_db_subnet_group.go,17,34
terraform/state.go,16,249
terraform/version.go,16,154
builtin/providers/google/config.go,16,43
builtin/providers/aws/resource_aws_lambda_function_test.go,16,42
builtin/providers/aws/resource_aws_security_group_rule.go,16,40
builtin/providers/aws/resource_aws_s3_bucket_object.go,16,34
builtin/providers/google/resource_compute_disk.go,16,27
terraform/context.go,15,431
commands.go,15,96
builtin/providers/azurerm/config.go,15,61
builtin/providers/aws/resource_aws_eip.go,15,52
builtin/providers/aws/resource_aws_ecs_service.go,15,50
state/remote/s3.go,15,34
builtin/providers/digitalocean/resource_digitalocean_droplet_test.go,15,34
builtin/providers/datadog/resource_datadog_monitor.go,15,29
builtin/providers/aws/resource_aws_db_subnet_group_test.go,15,26
builtin/providers/aws/resource_aws_spot_instance_request.go,15,25
builtin/providers/aws/resource_aws_iam_role.go,15,24
builtin/providers/azurerm/resource_arm_virtual_machine_scale_set.go,15,23
terraform/context_apply_test.go,14,681
terraform/terraform_test.go,14,393
command/plan.go,14,107
main.go,14,72
builtin/providers/aws/resource_aws_subnet.go,14,47
builtin/providers/aws/resource_aws_vpc_test.go,14,39
builtin/providers/vsphere/resource_vsphere_virtual_machine_test.go,14,39
state/remote/remote.go,14,38
builtin/providers/aws/resource_aws_network_interface.go,14,32
builtin/providers/aws/resource_aws_vpc_peering_connection.go,14,32
builtin/providers/google/resource_container_cluster.go,14,30
builtin/providers/aws/resource_aws_route.go,14,23
builtin/providers/google/resource_compute_backend_service.go,14,22
