entity,n-authors,n-revs
builtin/providers/aws/provider.go,105,318
CHANGELOG.md,81,3778
builtin/providers/aws/config.go,55,170
builtin/providers/aws/resource_aws_instance.go,50,170
config/interpolate_funcs.go,48,109
builtin/providers/aws/structure.go,47,151
builtin/providers/aws/resource_aws_db_instance.go,46,145
README.md,44,78
command/internal_plugin_list.go,35,53
helper/schema/schema.go,34,209
builtin/providers/aws/resource_aws_s3_bucket.go,34,94
builtin/providers/aws/resource_aws_elb.go,33,116
Godeps/Godeps.json,33,102
builtin/providers/aws/validators.go,31,68
builtin/providers/aws/resource_aws_autoscaling_group.go,29,100
builtin/providers/google/provider.go,28,83
Makefile,25,114
builtin/providers/aws/resource_aws_route53_record.go,25,72
builtin/providers/aws/resource_aws_launch_configuration.go,25,65
builtin/providers/aws/resource_aws_security_group.go,24,99
builtin/providers/google/resource_compute_instance.go,24,86
builtin/providers/vsphere/resource_vsphere_virtual_machine.go,23,75
builtin/providers/aws/resource_aws_route_table.go,23,55
builtin/providers/aws/resource_aws_rds_cluster.go,23,42
builtin/providers/aws/resource_aws_lambda_function.go,22,49
go.mod,21,204
go.sum,21,204
.travis.yml,21,129
helper/resource/testing.go,21,109
builtin/providers/azurerm/resource_arm_virtual_machine.go,21,65
command/init.go,20,119
builtin/providers/openstack/resource_openstack_compute_instance_v2.go,20,104
builtin/providers/aws/resource_aws_elasticache_cluster.go,20,58
builtin/providers/digitalocean/resource_digitalocean_droplet.go,20,51
builtin/providers/aws/resource_aws_redshift_cluster.go,20,41
command/apply.go,19,132
builtin/providers/aws/resource_aws_vpc.go,19,64
scripts/build.sh,19,41
builtin/providers/docker/resource_docker_container.go,19,30
command/meta.go,18,166
command/output.go,18,49
Vagrantfile,18,47
builtin/providers/azurerm/provider.go,17,98
builtin/providers/openstack/provider.go,17,56
builtin/provisioners/chef/resource_provisioner.go,17,55
builtin/providers/aws/resource_aws_route53_zone.go,17,51
builtin/providers/aws/resource_aws_internet_gateway.go,17,49
builtin/providers/fastly/resource_fastly_service_v1.go,17,41
builtin/providers/google/resource_compute_instance_template.go,17,38
builtin/providers/aws/resource_aws_dynamodb_table.go,17,37
builtin/providers/docker/resource_docker_container_funcs.go,17,37
builtin/providers/aws/resource_aws_db_subnet_group.go,17,34
terraform/state.go,16,221
terraform/version.go,16,153
builtin/providers/google/config.go,16,43
builtin/providers/aws/resource_aws_security_group_rule.go,16,40
builtin/providers/aws/resource_aws_s3_bucket_object.go,16,34
builtin/providers/google/resource_compute_disk.go,16,27
terraform/context.go,15,375
commands.go,15,88
builtin/providers/azurerm/config.go,15,61
builtin/providers/aws/resource_aws_eip.go,15,52
builtin/providers/aws/resource_aws_ecs_service.go,15,50
state/remote/s3.go,15,34
builtin/providers/datadog/resource_datadog_monitor.go,15,29
builtin/providers/aws/resource_aws_spot_instance_request.go,15,25
builtin/providers/aws/resource_aws_iam_role.go,15,24
builtin/providers/azurerm/resource_arm_virtual_machine_scale_set.go,15,23
command/plan.go,14,94
main.go,14,65
builtin/providers/aws/resource_aws_subnet.go,14,47
state/remote/remote.go,14,32
builtin/providers/aws/resource_aws_network_interface.go,14,32
builtin/providers/aws/resource_aws_vpc_peering_connection.go,14,32
builtin/providers/google/resource_container_cluster.go,14,30
builtin/providers/aws/resource_aws_route.go,14,23
builtin/providers/google/resource_compute_backend_service.go,14,22
builtin/providers/aws/resource_aws_iam_user.go,14,21
builtin/providers/digitalocean/resource_digitalocean_record.go,14,20
config/config.go,13,165
terraform/diff.go,13,121
terraform/eval_diff.go,13,120
helper/schema/resource.go,13,76
command/refresh.go,13,62
builtin/providers/aws/resource_aws_network_acl.go,13,45
backend/init/init.go,13,42
.gitignore,13,30
builtin/providers/aws/resource_aws_db_parameter_group.go,13,30
builtin/providers/aws/resource_aws_opsworks_stack.go,13,25
builtin/providers/aws/network_acl_entry.go,13,23
builtin/providers/google/resource_compute_instance_group_manager.go,13,21
builtin/providers/aws/resource_aws_sns_topic.go,13,20
helper/schema/valuetype_string.go,13,19
terraform/eval_validate.go,12,73
builtin/providers/cloudstack/resource_cloudstack_instance.go,12,36
builtin/providers/aws/resource_aws_vpn_gateway.go,12,28
builtin/providers/aws/resource_aws_db_security_group.go,12,27
helper/schema/field_reader_diff.go,12,26
builtin/providers/azure/resource_azure_instance.go,12,26
builtin/providers/aws/resource_aws_rds_cluster_instance.go,12,22
builtin/providers/aws/resource_aws_cloudfront_distribution.go,12,22
terraform/walkoperation_string.go,12,22
builtin/providers/google/resource_compute_firewall.go,12,21
helper/schema/set.go,12,20
builtin/providers/aws/resource_aws_ebs_volume.go,12,20
helper/resource/state.go,12,20
builtin/providers/aws/resource_aws_volume_attachment.go,12,19
builtin/providers/google/resource_compute_route.go,12,19
helper/schema/field_writer_map.go,12,18
builtin/providers/google/resource_compute_target_pool.go,12,17
terraform/instancetype_string.go,12,16
builtin/providers/digitalocean/provider.go,12,15
helper/schema/resource_data.go,11,95
version/version.go,11,94
config.go,11,46
builtin/provisioners/remote-exec/resource_provisioner.go,11,44
helper/schema/provider.go,11,42
builtin/providers/heroku/resource_heroku_app.go,11,41
builtin/providers/openstack/resource_openstack_networking_subnet_v2.go,11,36
builtin/providers/postgresql/provider.go,11,34
builtin/providers/azurerm/resource_arm_storage_account.go,11,33
command/validate.go,11,30
builtin/providers/openstack/config.go,11,27
builtin/providers/aws/tags.go,11,23
builtin/providers/openstack/resource_openstack_networking_port_v2.go,11,23
builtin/providers/azurerm/resource_arm_virtual_network.go,11,23
builtin/providers/openstack/resource_openstack_networking_router_v2.go,11,23
builtin/providers/cloudflare/resource_cloudflare_record.go,11,22
helper/schema/field_reader_config.go,11,22
builtin/providers/aws/resource_aws_elasticsearch_domain.go,11,22
builtin/providers/azurerm/resource_arm_network_interface_card.go,11,21
builtin/providers/aws/cloudfront_distribution_configuration_structure.go,11,21
builtin/providers/openstack/resource_openstack_networking_floatingip_v2.go,11,20
builtin/providers/aws/resource_aws_sqs_queue.go,11,19
builtin/providers/azurerm/resource_arm_public_ip.go,11,17
builtin/providers/aws/resource_aws_vpn_connection.go,11,16
builtin/providers/aws/resource_aws_spot_fleet_request.go,11,16
builtin/providers/aws/resource_aws_codedeploy_deployment_group.go,11,16
builtin/providers/aws/resource_aws_vpc_endpoint.go,11,15
builtin/providers/google/resource_storage_bucket.go,11,14
builtin/providers/aws/resource_aws_kinesis_stream.go,11,14
builtin/providers/aws/auth_helpers.go,11,14
command/meta_backend.go,10,92
terraform/resource.go,10,91
terraform/transform_resource.go,10,80
command/push.go,10,62
plugin/discovery/get.go,10,54
command/show.go,10,51
config/loader_hcl.go,10,44
communicator/ssh/communicator.go,10,36
builtin/providers/openstack/resource_openstack_compute_secgroup_v2.go,10,33
builtin/providers/openstack/resource_openstack_blockstorage_volume_v1.go,10,28
builtin/providers/google/resource_sql_database_instance.go,10,24
builtin/providers/consul/resource_provider.go,10,23
helper/schema/field_reader.go,10,23
builtin/providers/openstack/resource_openstack_fw_policy_v1.go,10,22
builtin/providers/google/resource_compute_network.go,10,21
helper/schema/field_reader_map.go,10,19
builtin/providers/heroku/resource_heroku_addon.go,10,18
helper/resource/wait.go,10,18
builtin/providers/dnsimple/resource_dnsimple_record.go,10,18
builtin/providers/aws/resource_aws_cloudwatch_log_group.go,10,18
builtin/providers/google/resource_compute_forwarding_rule.go,10,17
builtin/providers/aws/resource_aws_elasticache_subnet_group.go,10,16
builtin/providers/azurerm/resource_arm_availability_set.go,10,16
builtin/providers/aws/resource_aws_kinesis_firehose_delivery_stream.go,10,16
builtin/providers/datadog/resource_datadog_timeboard.go,10,14
builtin/providers/google/resource_compute_http_health_check.go,10,14
builtin/providers/aws/resource_aws_emr_cluster.go,10,14
builtin/providers/aws/resource_aws_iam_instance_profile.go,10,14
