entity,n-authors,n-revs,soc,robot-type
builtin/providers/aws/provider.go,105.0,318.0,3369.0,2
CHANGELOG.md,81.0,3778.0,513.0,0
builtin/providers/aws/config.go,55.0,170.0,3212.0,2
builtin/providers/aws/resource_aws_instance.go,50.0,170.0,3107.0,1
config/interpolate_funcs.go,48.0,109.0,787.0,0
builtin/providers/aws/structure.go,47.0,151.0,3085.0,1
builtin/providers/aws/resource_aws_db_instance.go,46.0,145.0,3188.0,2
README.md,44.0,78.0,69.0,0
command/internal_plugin_list.go,35.0,53.0,631.0,0
helper/schema/schema.go,34.0,209.0,2098.0,1
builtin/providers/aws/resource_aws_s3_bucket.go,34.0,94.0,2814.0,1
builtin/providers/aws/resource_aws_elb.go,33.0,116.0,2883.0,1
Godeps/Godeps.json,33.0,102.0,148.0,0
builtin/providers/aws/validators.go,31.0,68.0,2589.0,1
builtin/providers/aws/resource_aws_autoscaling_group.go,29.0,100.0,3043.0,1
builtin/providers/google/provider.go,28.0,83.0,2659.0,1
Makefile,25.0,114.0,192.0,0
builtin/providers/aws/resource_aws_route53_record.go,25.0,72.0,2946.0,1
builtin/providers/aws/resource_aws_launch_configuration.go,25.0,65.0,2977.0,1
builtin/providers/aws/resource_aws_security_group.go,24.0,99.0,3122.0,1
builtin/providers/google/resource_compute_instance.go,24.0,86.0,2679.0,1
builtin/providers/vsphere/resource_vsphere_virtual_machine.go,23.0,75.0,2457.0,1
builtin/providers/aws/resource_aws_route_table.go,23.0,55.0,2992.0,1
builtin/providers/aws/resource_aws_rds_cluster.go,23.0,42.0,2486.0,1
builtin/providers/aws/resource_aws_lambda_function.go,22.0,49.0,2554.0,1
go.mod,21.0,204.0,773.0,0
go.sum,21.0,204.0,780.0,0
.travis.yml,21.0,129.0,158.0,0
helper/resource/testing.go,21.0,109.0,3235.0,2
builtin/providers/azurerm/resource_arm_virtual_machine.go,21.0,65.0,2636.0,1
command/init.go,20.0,119.0,3773.0,2
builtin/providers/openstack/resource_openstack_compute_instance_v2.go,20.0,104.0,2703.0,1
builtin/providers/aws/resource_aws_elasticache_cluster.go,20.0,58.0,2854.0,1
builtin/providers/digitalocean/resource_digitalocean_droplet.go,20.0,51.0,2577.0,1
builtin/providers/aws/resource_aws_redshift_cluster.go,20.0,41.0,2453.0,1
command/apply.go,19.0,132.0,2899.0,1
builtin/providers/aws/resource_aws_vpc.go,19.0,64.0,3033.0,1
scripts/build.sh,19.0,41.0,38.0,0
builtin/providers/docker/resource_docker_container.go,19.0,30.0,2400.0,1
command/meta.go,18.0,166.0,3620.0,2
command/output.go,18.0,49.0,2453.0,1
Vagrantfile,18.0,47.0,15.0,0
builtin/providers/azurerm/provider.go,17.0,98.0,2690.0,1
builtin/providers/openstack/provider.go,17.0,56.0,2489.0,1
builtin/provisioners/chef/resource_provisioner.go,17.0,55.0,166.0,0
builtin/providers/aws/resource_aws_route53_zone.go,17.0,51.0,2902.0,1
builtin/providers/aws/resource_aws_internet_gateway.go,17.0,49.0,3014.0,1
builtin/providers/fastly/resource_fastly_service_v1.go,17.0,41.0,2397.0,1
builtin/providers/google/resource_compute_instance_template.go,17.0,38.0,2583.0,1
builtin/providers/aws/resource_aws_dynamodb_table.go,17.0,37.0,2607.0,1
builtin/providers/docker/resource_docker_container_funcs.go,17.0,37.0,2428.0,1
builtin/providers/aws/resource_aws_db_subnet_group.go,17.0,34.0,2819.0,1
terraform/state.go,16.0,221.0,5015.0,2
terraform/version.go,16.0,153.0,1153.0,0
builtin/providers/google/config.go,16.0,43.0,2509.0,1
builtin/providers/aws/resource_aws_security_group_rule.go,16.0,40.0,2732.0,1
builtin/providers/aws/resource_aws_s3_bucket_object.go,16.0,34.0,2366.0,1
builtin/providers/google/resource_compute_disk.go,16.0,27.0,2566.0,1
terraform/context.go,15.0,375.0,5181.0,2
commands.go,15.0,88.0,430.0,0
builtin/providers/azurerm/config.go,15.0,61.0,2641.0,1
builtin/providers/aws/resource_aws_eip.go,15.0,52.0,2874.0,1
builtin/providers/aws/resource_aws_ecs_service.go,15.0,50.0,2641.0,1
state/remote/s3.go,15.0,34.0,299.0,0
builtin/providers/datadog/resource_datadog_monitor.go,15.0,29.0,2384.0,1
builtin/providers/aws/resource_aws_spot_instance_request.go,15.0,25.0,2550.0,1
builtin/providers/aws/resource_aws_iam_role.go,15.0,24.0,2664.0,1
builtin/providers/azurerm/resource_arm_virtual_machine_scale_set.go,15.0,23.0,2581.0,1
command/plan.go,14.0,94.0,1897.0,1
main.go,14.0,65.0,1407.0,0
builtin/providers/aws/resource_aws_subnet.go,14.0,47.0,3030.0,1
state/remote/remote.go,14.0,32.0,190.0,0
builtin/providers/aws/resource_aws_network_interface.go,14.0,32.0,2869.0,1
builtin/providers/aws/resource_aws_vpc_peering_connection.go,14.0,32.0,2798.0,1
builtin/providers/google/resource_container_cluster.go,14.0,30.0,2565.0,1
builtin/providers/aws/resource_aws_route.go,14.0,23.0,2350.0,1
builtin/providers/google/resource_compute_backend_service.go,14.0,22.0,2531.0,1
builtin/providers/aws/resource_aws_iam_user.go,14.0,21.0,2700.0,1
builtin/providers/digitalocean/resource_digitalocean_record.go,14.0,20.0,2455.0,1
config/config.go,13.0,165.0,1326.0,0
terraform/diff.go,13.0,121.0,2587.0,1
terraform/eval_diff.go,13.0,120.0,3782.0,2
helper/schema/resource.go,13.0,76.0,1821.0,1
command/refresh.go,13.0,62.0,1664.0,1
builtin/providers/aws/resource_aws_network_acl.go,13.0,45.0,2809.0,1
backend/init/init.go,13.0,42.0,653.0,0
.gitignore,13.0,30.0,3026.0,1
builtin/providers/aws/resource_aws_db_parameter_group.go,13.0,30.0,2746.0,1
builtin/providers/aws/resource_aws_opsworks_stack.go,13.0,25.0,2434.0,1
builtin/providers/aws/network_acl_entry.go,13.0,23.0,2666.0,1
builtin/providers/google/resource_compute_instance_group_manager.go,13.0,21.0,2519.0,1
builtin/providers/aws/resource_aws_sns_topic.go,13.0,20.0,2638.0,1
helper/schema/valuetype_string.go,13.0,19.0,1127.0,0
terraform/eval_validate.go,12.0,73.0,2799.0,1
builtin/providers/cloudstack/resource_cloudstack_instance.go,12.0,36.0,2557.0,1
builtin/providers/aws/resource_aws_vpn_gateway.go,12.0,28.0,2807.0,1
builtin/providers/aws/resource_aws_db_security_group.go,12.0,27.0,2913.0,1
helper/schema/field_reader_diff.go,12.0,26.0,1083.0,0
builtin/providers/azure/resource_azure_instance.go,12.0,26.0,2603.0,1
builtin/providers/aws/resource_aws_rds_cluster_instance.go,12.0,22.0,2466.0,1
builtin/providers/aws/resource_aws_cloudfront_distribution.go,12.0,22.0,2380.0,1
terraform/walkoperation_string.go,12.0,22.0,1197.0,0
builtin/providers/google/resource_compute_firewall.go,12.0,21.0,2574.0,1
helper/schema/set.go,12.0,20.0,1032.0,0
builtin/providers/aws/resource_aws_ebs_volume.go,12.0,20.0,2775.0,1
helper/resource/state.go,12.0,20.0,1062.0,0
builtin/providers/aws/resource_aws_volume_attachment.go,12.0,19.0,2666.0,1
builtin/providers/google/resource_compute_route.go,12.0,19.0,2583.0,1
helper/schema/field_writer_map.go,12.0,18.0,1019.0,0
builtin/providers/google/resource_compute_target_pool.go,12.0,17.0,2547.0,1
terraform/instancetype_string.go,12.0,16.0,1131.0,0
builtin/providers/digitalocean/provider.go,12.0,15.0,2415.0,1
helper/schema/resource_data.go,11.0,95.0,1275.0,0
version/version.go,11.0,94.0,107.0,0
config.go,11.0,46.0,234.0,0
builtin/provisioners/remote-exec/resource_provisioner.go,11.0,44.0,114.0,0
helper/schema/provider.go,11.0,42.0,2070.0,1
builtin/providers/heroku/resource_heroku_app.go,11.0,41.0,2396.0,1
