entity,soc
terraform/terraform_test.go,7201
builtin/providers/terraform/data_source_state_test.go,5283
terraform/context.go,5181
builtin/providers/terraform/test-fixtures/complex_outputs.tfstate,5160
builtin/providers/terraform/test-fixtures/basic.tfstate,5160
terraform/context_apply_test.go,5138
terraform/module_dependencies_test.go,5125
terraform/state.go,5015
command/command_test.go,4864
command/apply_test.go,4838
terraform/context_test.go,4675
backend/local/backend_apply_test.go,4526
command/plan_test.go,4326
terraform/eval_context_builtin.go,4318
terraform/context_fixtures_test.go,4240
terraform/eval_context_mock.go,4200
command/refresh_test.go,4197
command/show_test.go,4121
terraform/variables_test.go,4024
terraform/transform_reference.go,3958
terraform/test-fixtures/apply-resource-scale-in/main.tf,3835
builtin/providers/terraform/data_source_state.go,3800
config/config_test.go,3799
plugin/discovery/find_test.go,3794
terraform/eval_diff.go,3782
plugin/discovery/meta_test.go,3780
plugin/discovery/get_cache_test.go,3774
command/init.go,3773
terraform/testdata/vars-basic/main.tf,3771
terraform/testdata/vars-basic-bool/main.tf,3771
terraform/testdata/validate-variable-ref/main.tf,3771
terraform/testdata/validate-var-no-default-explicit-type/main.tf,3771
terraform/testdata/validate-var-map-override-old/main.tf,3771
terraform/testdata/validate-targeted/main.tf,3771
terraform/testdata/validate-resource-name-symbol/main.tf,3771
terraform/testdata/validate-required-var/main.tf,3771
terraform/testdata/validate-module-pc-vars/main.tf,3771
terraform/testdata/validate-module-pc-vars/child/main.tf,3771
terraform/testdata/validate-module-pc-inherit/main.tf,3771
terraform/testdata/validate-module-pc-inherit/child/main.tf,3771
terraform/testdata/validate-module-pc-inherit-unused/main.tf,3771
terraform/testdata/validate-module-pc-inherit-unused/child/main.tf,3771
terraform/testdata/validate-module-pc-inherit-orphan/main.tf,3771
terraform/testdata/validate-module-deps-cycle/main.tf,3771
terraform/testdata/validate-module-deps-cycle/b/main.tf,3771
terraform/testdata/validate-module-deps-cycle/a/main.tf,3771
terraform/testdata/validate-module-bad-rc/main.tf,3771
terraform/testdata/validate-module-bad-rc/child/main.tf,3771
terraform/testdata/validate-good/main.tf,3771
terraform/testdata/validate-good-module/main.tf,3771
terraform/testdata/validate-good-module/child/main.tf,3771
terraform/testdata/validate-cycle/main.tf,3771
terraform/testdata/validate-count-variable/main.tf,3771
terraform/testdata/validate-count-negative/main.tf,3771
terraform/testdata/validate-count-computed/main.tf,3771
terraform/testdata/validate-computed-var/main.tf,3771
terraform/testdata/validate-computed-module-var-ref/source/main.tf,3771
